,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
22,00ddb6be-5ef7-425f-8483-c6e1426f6961,Merian Banagua,https://play-lh.googleusercontent.com/a/ACg8ocLt9RFJ9Yx2PoqN0N9kcava-6RHGT2LYRNo6q9aGpq8=mo,Good to me,1,0,,2023-08-29 03:58:25,,,
23,7c9c155a-fc6a-421d-8bba-7364ce39719c,Maqsy Hasanal,https://play-lh.googleusercontent.com/a-/ALV-UjXOQ9XDdLZ4gxXjtunwPSFmPAHTfgUYM6bpv2H_JH69ZA,Excellent Work,5,0,1.0,2023-08-28 05:10:23,,,1.0
24,1b30f9f1-c8a5-4f42-90bf-5ec80689aca6,Craig McDonald,https://play-lh.googleusercontent.com/a-/ALV-UjXZKysVl4udCDEQGIb8XSfX2FxgfU-bfm9K8mKTZFEXDw,The best calculator on Android.,5,0,1.0,2023-08-21 04:00:26,,,1.0
25,454b0216-6996-44a3-8703-2850d1aad051,Neema Mwavea,https://play-lh.googleusercontent.com/a-/ALV-UjVJIUOASI5N8wxeuv2gMCqsSbE4GFMg0iezeSS1Nlea9g,Good scientific calculator,1,0,,2023-08-17 22:08:54,,,
26,b31a7813-cdeb-4f16-b88c-c6fbc2617451,Faheem 59,https://play-lh.googleusercontent.com/a-/ALV-UjUNvyAFkzPjd-pyWOsjF_Nl6E8PssI3H3ALpyPGD-mzLYk,Very good same like original calculator easy to use,5,1,1.0,2023-08-17 17:08:51,,,1.0
27,31963ad4-8b62-4c70-bce6-2c251c84a8f8,Omda John,https://play-lh.googleusercontent.com/a/ACg8ocI4uYxa-hlG87eX8ANsxUK0Wdak1ZjbNZWzNLlUWLk_=mo,"What a nice app l enjoy using it , thu am still learning how to use it well",5,0,,2023-08-07 22:49:16,,,
28,47eb5445-90ae-4810-b516-3179aaa94401,Md. Meherab,https://play-lh.googleusercontent.com/a/ACg8ocK_EXYfp-IDLxcAo9Z2qxxQQ0GuzcqOzv4OJiM_PkTe=mo,Baler app,5,0,1.0,2023-08-06 23:25:51,,,1.0
29,dbdb7bf0-b782-44ff-af0f-ace4b64922ff,ROSE ZERO Siva,https://play-lh.googleusercontent.com/a-/ALV-UjU4TsIS5SRglanKgmzymDeU3Xu7VT3CcI-AFxGQQEShfkc,Super app lock screen shot of the gods and family album song lyrics lyrics in english language 😊😊😊😊,5,0,1.0,2023-08-04 10:47:02,,,1.0
30,375f2ce0-d9fa-4477-a4bf-7cf1ff0aafb4,Aerin Morgan,https://play-lh.googleusercontent.com/a/ACg8ocIV4NK-aUneqLGA7kK4Fa5Ea5akgLGRa_kJ5FabvpLb=mo,So good,5,0,1.0,2023-08-03 16:21:52,,,1.0
31,c2e5677a-59f3-4c8f-9cd7-20c31b1a7430,Uzumaki Naruto,https://play-lh.googleusercontent.com/a-/ALV-UjVrsQvbT-zs6MSFhgbmoc0OAEoQZ6L76DFFIfFU9s1kKXQ,Best calculator,5,0,1.0,2023-08-01 10:29:37,,,1.0
32,4751f11c-1c40-4adc-83cf-a63d56616a34,Dok Tok,https://play-lh.googleusercontent.com/a/ACg8ocIA2OSxyAdlf_M8FW1nBwN7nVHA1BcJcX_i3vOB5elG=mo,Best,5,0,1.0,2023-07-31 11:51:33,,,1.0
33,5fc1d01e-8fc2-400d-8ac9-0da8a0a8d552,Siyam Raj,https://play-lh.googleusercontent.com/a/ACg8ocIWMbscbqkzydByLZEYIU4ikhegp1eV9Z68JK1ULBAy=mo,Same like my calculator 🙃,5,0,1.0,2023-07-30 10:54:23,,,1.0
34,0c1db65c-5285-4178-ac82-7dd3561b6b18,Sree Aran,https://play-lh.googleusercontent.com/a/ACg8ocIlhsCnjfBhIiPHCNNkwT1WEPwDcjWkhgD7qGCHBSxf=mo,Very useful exactly functionable as real calculator,5,1,1.0,2023-07-26 14:19:53,,,1.0
35,89dc53da-917b-422f-89f6-05c673952d44,Tabiba Islam,https://play-lh.googleusercontent.com/a/ACg8ocLUSduKqQgPjwyWww8PRwuaqRPmeNUumQm0RoBtDGez=mo,Helpful nice app👍😃,5,0,1.0,2023-07-14 20:59:56,,,1.0
36,41a5ba7c-9b87-4a2b-8ab6-141a08a714cd,Suresh Kota,https://play-lh.googleusercontent.com/a-/ALV-UjUzXD9QHCZ3WwqtOJdphpUC6bXCTQp8SW8qcwTJKmX3mQ,Good scirntific calculator app👍,5,0,1.0,2023-07-12 21:02:41,,,1.0
37,773df7d9-ca91-456d-b514-919b20e79af1,Crazy Shinchan,https://play-lh.googleusercontent.com/a-/ALV-UjVDbgaArdrbD-TODCAqTH1VAsAmOAfBPBzNYaXWwu9nmg,Nice application,5,0,1.0,2023-07-11 09:05:54,,,1.0
38,1d47a67e-e840-4748-af3f-ea7e0a20c670,RÍZVÍ YT,https://play-lh.googleusercontent.com/a/ACg8ocJ-M6XJMzo425Aesm-RoZvyyG-rDpQ3j0pJNP9cFJS0=mo,Vlo app,5,0,1.0,2023-07-10 21:21:48,,,1.0
39,b32b2eaa-3fc3-4aba-b58c-14f4a0c07fa6,Pravendra Singh,https://play-lh.googleusercontent.com/a/ACg8ocJ2s2UpvbYHwr3ylQFGVY2yYBYEm6tehv5KbGfwy7Bm=mo,Very useful this application,5,0,1.0,2023-07-05 19:59:08,,,1.0
40,76582e45-a569-4e91-98d6-8db8494bb946,Che Baguio,https://play-lh.googleusercontent.com/a/ACg8ocL1rak7-aebY1s_qbogZa8IfparxVguTtLNnxdYHww=mo,Simply useful. Thanks a lot.,5,0,1.0,2023-07-04 18:30:21,,,1.0
41,f7159238-6fae-4afe-89d9-90ff7c0b4acc,Leah Alex,https://play-lh.googleusercontent.com/a/ACg8ocK1cBpR4oDTzkITE1Difea9IIZNd5u86vwrrzNTaREj=mo,Best app forever,5,0,,2023-07-01 11:53:59,,,
42,c37f7519-511c-4ecc-aa73-dfd4c919681b,Almuktar Seekershomy,https://play-lh.googleusercontent.com/a/ACg8ocJMNYequw2mwmMk_6EtdCHt5gLKv9F5Wres9uhf5BaJ=mo,Better of all,5,0,1.0,2023-06-30 16:12:39,,,1.0
43,36256c25-a59b-4847-802e-65caf79b35c0,Wani Joel,https://play-lh.googleusercontent.com/a/ACg8ocKzIXST_9UvmSrU58GFK7TbBY0qR4HaG44NfL32Y5rY=mo,Great app,5,0,1.0,2023-06-28 13:02:45,,,1.0
44,d38a90c5-c94e-4a8e-98f5-7acaca3e5878,Rk Raju,https://play-lh.googleusercontent.com/a-/ALV-UjURYkNZ7JyJAeMl1QfS6ZCq2NNn8MXQD7kExkPORTVJtg,Thanks to NHA Game for giving us such a wonderful scientific calculator. It works 100%.,5,1,1.0,2023-06-27 10:30:08,,,1.0
45,688a508f-ec46-4dca-8d06-772b9ad6ef9c,Afiq,https://play-lh.googleusercontent.com/a-/ALV-UjWQSJ7X43CAvfr755cfhpDy5qRmRl70jroftSFmH7cV0io,Cool,5,0,1.0,2023-06-25 17:06:56,,,1.0
46,f02e674f-f127-424e-98bd-fa899fe8315c,Ashikur Rahman,https://play-lh.googleusercontent.com/a-/ALV-UjVYeR8ors5TCIIPRr7yVBV4csBb4x52cTuens2FgsSQX9Kr,Just what I was looking for,5,0,1.0,2023-06-24 22:30:39,,,1.0
47,4036683d-3149-4a10-8de1-fd8a426a87f7,Lipi Akter,https://play-lh.googleusercontent.com/a-/ALV-UjWUmL3hu0uk9tMKstgnERnhxb5SkYGRTYf9aOTD1-YewII,Easy to use 🙂,5,0,1.0,2023-06-23 20:42:39,,,1.0
48,681710a9-9843-40f1-986d-c5d47200029c,SIMON “JURRY” LEFU,https://play-lh.googleusercontent.com/a-/ALV-UjWQuQY9FvdO0XGMqn4FfwF1fRPOYiCzIa_9oraC_ebvIQ,Like it 😁😅,5,0,1.0,2023-06-23 14:29:32,,,1.0
49,3e2063e5-f9db-4965-bfa1-7aa941b8725b,Thamizhini Sivanantham,https://play-lh.googleusercontent.com/a-/ALV-UjXBj3cDe_yuCAX6Uhr_-Y-w4c7VKJb9dxnrCfsZRM-r0a4,Super,5,0,1.0,2023-06-21 20:00:25,,,1.0
50,0b6ce42c-c46f-4f42-9169-cce31c83f371,Hassan Godana,https://play-lh.googleusercontent.com/a/ACg8ocItuuT3R3StJ2dEmbBOGQuAODfjebkMBjy6wxzBm8Pl=mo,It's a wonderful scientific calculator app,5,0,1.0,2023-06-19 14:42:03,,,1.0
51,80d82885-f8b3-42e8-8c5e-71c37ae3726e,IAN VANZUELA,https://play-lh.googleusercontent.com/a/ACg8ocJQp5Y9NJ4Dsiv2BJMgiXMxgChqx67KdCUhNokRUyqe=mo,Its good and help me on my school work or even in my home work when i dont now the answer for my home work laake that,5,0,1.0,2023-06-18 04:30:34,,,1.0
52,c19036d5-5719-4337-b817-df4e53dcd535,Jundii Hamdaa,https://play-lh.googleusercontent.com/a-/ALV-UjUqq_Dtyy4wJgws2L1ak9OplVS8702Xx9AeZKkUkfmi,I am not use it . I want to check it,5,0,,2023-06-15 20:16:21,,,
53,fbc48599-f2b0-4ffe-b293-72d72aa4ee26,YOURI LYLIE,https://play-lh.googleusercontent.com/a/ACg8ocI0fAL5JLvFGkI381iOOyK8rKP5-QVapS7no30sFYO0=mo,Amazing product,5,0,1.0,2023-06-13 08:21:52,,,1.0
